LEAGUE,URL,URL_NUMBER
Liga Americas,/international/league/79/Liga-Americas/stats/2019/Per_48/All/All?pace_adjustment=,79
Liga Sudamericana,/international/league/80/Liga-Sudamericana/stats/2019/Per_48/All/All?pace_adjustment=,80
Venezuelan LPB,/international/league/82/Venezuelan-LPB/stats/2019/Per_48/All/All?pace_adjustment=,82
Portuguese LPB,/international/league/83/Portuguese-LPB/stats/2019/Per_48/All/All?pace_adjustment=,83
French Leaders Cup LNB,/international/league/89/French-Leaders-Cup-LNB/stats/2019/Per_48/All/All?pace_adjustment=,89
Luxembourg Total League,/international/league/92/Luxembourg-Total-League/stats/2019/Per_48/All/All?pace_adjustment=,92
German Pro A,/international/league/94/German-Pro-A/stats/2019/Per_48/All/All?pace_adjustment=,94
Lebanese Division A,/international/league/95/Lebanese-Division-A/stats/2019/Per_48/All/All?pace_adjustment=,95
French NM1,/international/league/96/French-NM1/stats/2019/Per_48/All/All?pace_adjustment=,96
Intercontinental Cup,/international/league/97/Intercontinental-Cup/stats/2019/Per_48/All/All?pace_adjustment=,97
German Pro B,/international/league/101/German-Pro-B/stats/2019/Per_48/All/All?pace_adjustment=,101
FIBA Europe Cup,/international/league/102/FIBA-Europe-Cup/stats/2019/Per_48/All/All?pace_adjustment=,102
Kosovo FBK,/international/league/104/Kosovo-FBK/stats/2019/Per_48/All/All?pace_adjustment=,104
Japanese B.League,/international/league/105/Japanese-BLeague/stats/2019/Per_48/All/All?pace_adjustment=,105
Basketball Champions League,/international/league/106/Basketball-Champions-League/stats/2019/Per_48/All/All?pace_adjustment=,106
Basketball Champions League - Qualification,/international/league/107/Basketball-Champions-League--Qualification/stats/2019/Per_48/All/All?pace_adjustment=,107
FIBA Europe Cup - Qualification,/international/league/108/FIBA-Europe-Cup--Qualification/stats/2019/Per_48/All/All?pace_adjustment=,108
German Cup,/international/league/112/German-Cup/stats/2019/Per_48/All/All?pace_adjustment=,112
Greek HEBA A2,/international/league/113/Greek-HEBA-A2/stats/2019/Per_48/All/All?pace_adjustment=,113
French LNB Espoirs,/international/league/114/French-LNB-Espoirs/stats/2019/Per_48/All/All?pace_adjustment=,114
Munich Tournament (ANGT),/international/league/115/Munich-Tournament-ANGT/stats/2019/Per_48/All/All?pace_adjustment=,115
Adriatic Junior Liga ABA,/international/league/117/Adriatic-Junior-Liga-ABA/stats/2019/Per_48/All/All?pace_adjustment=,117
Lithuanian NKL,/international/league/118/Lithuanian-NKL/stats/2019/Per_48/All/All?pace_adjustment=,118
VTB Youth United League,/international/league/119/VTB-Youth-United-League/stats/2019/Per_48/All/All?pace_adjustment=,119
Bosnian Cup,/international/league/120/Bosnian-Cup/stats/2019/Per_48/All/All?pace_adjustment=,120
Serbian Cup,/international/league/121/Serbian-Cup/stats/2019/Per_48/All/All?pace_adjustment=,121
Turkish Cup,/international/league/122/Turkish-Cup/stats/2019/Per_48/All/All?pace_adjustment=,122
Estonian-Latvian Basketball League,/international/league/123/Estonian-Latvian-Basketball-League/stats/2019/Per_48/All/All?pace_adjustment=,123
Spanish ACB SuperCup,/international/league/124/Spanish-ACB-SuperCup/stats/2019/Per_48/All/All?pace_adjustment=,124
ABA Liga Supercup,/international/league/125/ABA-Liga-Supercup/stats/2019/Per_48/All/All?pace_adjustment=,125
Zadar SuperCup,/international/league/126/Zadar-SuperCup/stats/2019/Per_48/All/All?pace_adjustment=,126
Alpe-Adria Cup,/international/league/127/Alpe-Adria-Cup/stats/2019/Per_48/All/All?pace_adjustment=,127
Canadian Elite Basketball League,/international/league/128/Canadian-Elite-Basketball-League/stats/2019/Per_48/All/All?pace_adjustment=,128
Valencia Tournament (ANGT),/international/league/129/Valencia-Tournament-ANGT/stats/2019/Per_48/All/All?pace_adjustment=,129
PBA - Philippine Cup,/international/league/130/PBA--Philippine-Cup/stats/2019/Per_48/All/All?pace_adjustment=,130
PBA - Commissioners Cup,/international/league/131/PBA--Commissioners-Cup/stats/2019/Per_48/All/All?pace_adjustment=,131
PBA - Governors Cup,/international/league/132/PBA--Governors-Cup/stats/2019/Per_48/All/All?pace_adjustment=,132
African Basketball League,/international/league/135/African-Basketball-League/stats/2019/Per_48/All/All?pace_adjustment=,135
