#,Player,Team,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,SEASON,LEAGUE
1,Brandon Roy,POR,1,0,3,0,0,0,0,42,2,0.342,2.2,0.4,0.4,42,23,0.6459999999999999,7.0,2.3,9.3,2010,NBA
2,Paul Pierce,BOS,1,0,0,0,0,2,0,35,5,0.23800000000000002,1.3,0.5,0.5,45,26,0.634,5.0,3.4,8.4,2010,NBA
3,Jason Terry,DAL,1,0,0,0,0,0,0,36,5,0.255,2.7,0.9,0.3,51,26,0.662,4.4,2.2,6.6,2010,NBA
4,Vince Carter,ORL,1,0,1,0,0,0,0,48,3,0.244,2.2,0.5,0.3,54,21,0.72,4.4,3.0,7.3,2010,NBA
5,Metta World Peace,LAL,1,0,0,0,0,7,0,22,7,0.184,1.9,0.9,0.3,53,24,0.688,1.8,3.5,5.2,2010,NBA
6,Andrei Kirilenko,UTA,1,0,0,0,0,2,1,26,0,0.179,2.0,1.1,0.5,37,21,0.638,3.3,2.7,6.0,2010,NBA
7,Kirk Hinrich,CHI,1,0,0,0,0,0,0,30,11,0.22699999999999998,2.9,0.8,0.2,40,34,0.541,1.2,2.9,4.0,2010,NBA
8,George Hill,SAS,1,0,0,0,0,1,0,30,1,0.193,2.2,0.7,0.3,48,30,0.615,4.0,2.5,6.6,2010,NBA
9,Corey Brewer,MIN,1,0,0,0,0,2,0,27,1,0.19399999999999998,1.2,0.7,0.3,15,67,0.183,-0.2,1.3,1.1,2010,NBA
10,Ryan Gomes,MIN,1,0,0,0,0,0,0,27,0,0.157,1.4,0.7,0.2,12,64,0.158,1.5,0.8,2.4,2010,NBA
11,Jason Williams,ORL,1,0,0,0,0,0,0,25,4,0.162,3.4,0.6,0.1,59,23,0.72,2.5,1.9,4.4,2010,NBA
12,Arron Afflalo,DEN,1,0,0,0,0,0,0,24,2,0.131,1.9,0.6,0.2,53,29,0.6459999999999999,2.9,1.3,4.2,2010,NBA
13,Peja Stojakovic,NOP,1,0,0,0,0,0,0,29,1,0.155,1.6,0.9,0.2,32,30,0.516,1.9,1.1,3.0,2010,NBA
14,Ronnie Brewer,MEM,1,0,0,0,0,1,0,25,0,0.161,2.9,1.7,0.3,37,21,0.638,1.5,2.4,3.9,2010,NBA
15,Will Bynum,DET,1,0,0,0,1,0,0,27,2,0.22899999999999998,2.3,0.5,0.3,21,42,0.33299999999999996,1.2,0.5,1.7,2010,NBA
16,Ramon Sessions,MIN,1,0,0,0,0,0,0,23,-1,0.165,2.0,0.4,0.4,15,67,0.183,0.7,0.5,1.2,2010,NBA
17,Kevin Martin,HOU,1,0,1,0,0,0,0,48,0,0.23,1.2,0.5,0.5,16,30,0.348,3.3,0.5,3.8,2010,NBA
18,Goran Dragic,PHX,1,0,0,0,0,0,0,32,0,0.142,2.0,0.4,0.3,53,27,0.662,2.1,0.7,2.8,2010,NBA
19,Delonte West,CLE,1,0,0,0,0,0,0,27,6,0.172,2.1,0.6,0.3,42,18,0.7,1.2,1.9,3.1,2010,NBA
20,Craig Smith,LAC,1,0,0,0,0,0,0,25,0,0.114,1.0,0.4,0.5,25,50,0.33299999999999996,2.0,1.0,3.0,2010,NBA
21,Carlos Arroyo,MIA,1,0,0,0,0,0,0,17,0,0.154,4.0,0.6,0.2,43,29,0.597,2.2,1.7,3.8,2010,NBA
22,Shannon Brown,LAL,1,0,0,0,0,0,0,27,2,0.115,1.6,0.9,0.2,57,25,0.695,1.1,2.1,3.3,2010,NBA
23,Mickael Pietrus,ORL,1,0,0,0,0,0,0,24,1,0.102,0.7,0.8,0.2,53,22,0.7070000000000001,1.2,2.3,3.5,2010,NBA
24,Matt Bonner,SAS,1,0,0,0,0,0,0,28,1,0.094,1.7,0.8,0.1,40,25,0.615,2.1,1.5,3.6,2010,NBA
25,Donte Greene,SAC,1,0,0,0,0,0,1,31,2,0.10800000000000001,0.8,0.4,0.3,22,54,0.289,0.3,1.1,1.5,2010,NBA
26,Dahntay Jones,IND,1,0,0,0,0,0,0,25,0,0.156,1.2,0.3,0.4,28,48,0.368,0.3,1.6,1.9,2010,NBA
27,Josh Boone,NJN,1,0,0,1,0,0,0,13,0,0.067,0.8,0.8,0.3,9,54,0.14300000000000002,0.7,1.2,1.8,2010,NBA
28,Sonny Weems,TOR,1,0,0,0,0,0,0,21,1,0.124,1.6,0.6,0.1,32,37,0.46399999999999997,0.8,0.3,1.2,2010,NBA
29,Ryan Anderson,ORL,1,0,0,0,0,0,0,20,0,0.08900000000000001,0.7,0.4,0.2,46,17,0.73,1.7,1.4,3.0,2010,NBA
30,Zaza Pachulia,ATL,1,0,0,0,0,0,0,14,1,0.053,0.7,0.6,0.6,50,28,0.6409999999999999,1.1,1.5,2.7,2010,NBA
31,Nicolas Batum,POR,1,0,0,0,0,0,0,31,-2,0.134,1.6,0.8,0.2,23,14,0.622,2.4,1.0,3.4,2010,NBA
32,Kurt Thomas,MIL,1,0,0,0,0,0,0,12,1,0.055999999999999994,1.0,0.5,0.1,37,33,0.529,-0.0,2.0,2.0,2010,NBA
33,Andris Biedrins,GSW,1,0,0,0,0,0,2,12,0,0.10400000000000001,1.9,0.7,0.2,10,23,0.303,0.8,1.1,1.8,2010,NBA
34,Rafer Alston,MIA,1,1,0,0,0,0,0,20,1,0.183,1.8,0.5,0.2,13,39,0.25,-1.6,1.2,-0.3,2010,NBA
35,Tony Allen,BOS,1,0,0,0,0,1,0,16,0,0.10099999999999999,1.1,0.9,0.5,31,23,0.574,0.2,1.5,1.7,2010,NBA
36,Austin Daye,DET,1,0,0,0,0,0,0,16,0,0.069,0.7,0.5,0.2,22,47,0.319,0.5,0.6,1.1,2010,NBA
37,Joel Przybilla,POR,1,0,0,0,0,0,0,14,1,0.051,0.2,0.2,0.6,18,12,0.6,0.2,1.4,1.6,2010,NBA
38,Ime Udoka,SAC,1,0,0,0,0,0,0,19,0,0.057,1.4,0.8,0.2,21,48,0.304,0.0,0.8,0.8,2010,NBA
39,Dante Cunningham,POR,1,0,0,0,0,0,0,14,0,0.052000000000000005,0.9,1.5,0.2,37,26,0.5870000000000001,0.9,0.9,1.8,2010,NBA
40,Chris Hunter,GSW,1,0,0,0,0,0,0,22,0,0.06,1.3,0.5,0.3,19,41,0.317,1.0,0.3,1.3,2010,NBA
41,Travis Outlaw,LAC,1,0,0,0,0,0,0,23,1,0.11900000000000001,1.0,0.6,0.2,14,20,0.41200000000000003,0.4,0.5,0.9,2010,NBA
42,Jon Brockman,SAC,1,0,0,0,0,0,0,11,0,0.038,1.0,0.7,0.6,15,37,0.28800000000000003,1.2,0.4,1.6,2010,NBA
43,Morris Peterson,NOP,1,0,0,0,0,0,0,20,0,0.087,1.6,0.9,0.2,18,28,0.391,0.3,0.4,0.7,2010,NBA
44,Shelden Williams,BOS,1,0,0,0,0,0,0,14,1,0.040999999999999995,0.7,0.4,0.8,36,18,0.667,1.1,0.9,2.0,2010,NBA
45,Jeff Teague,ATL,1,0,0,0,0,0,0,24,0,0.076,2.4,0.7,0.2,50,21,0.7040000000000001,-0.2,0.9,0.6,2010,NBA
46,Vladimir Radmanovic,GSW,1,0,0,0,0,0,0,20,1,0.096,1.1,0.7,0.1,11,30,0.268,-0.6,0.7,0.1,2010,NBA
47,Trenton Hassell,NJN,1,0,0,0,0,0,0,17,0,0.08,1.1,0.4,0.3,6,46,0.115,-0.4,0.3,-0.1,2010,NBA
48,Joe Smith,ATL,1,0,0,0,0,0,0,12,0,0.04,0.9,0.3,0.2,42,22,0.6559999999999999,0.3,0.6,0.9,2010,NBA
49,Oleksiy Pecherov,MIN,1,0,0,0,0,0,0,24,0,0.054000000000000006,0.4,0.3,0.2,6,38,0.136,-0.2,0.3,0.1,2010,NBA
50,Chris Wilcox,DET,1,0,0,0,0,0,0,14,1,0.063,0.3,0.3,0.4,9,25,0.265,-0.3,0.5,0.2,2010,NBA
51,Darrell Arthur,MEM,1,0,0,0,0,0,0,16,1,0.063,0.7,0.6,0.2,14,18,0.43799999999999994,-0.2,0.4,0.2,2010,NBA
52,D.J. Mbenga,LAL,1,0,0,0,0,0,0,11,0,0.03,0.5,0.3,0.2,33,16,0.6729999999999999,-0.0,0.7,0.6,2010,NBA
53,Jermaine Taylor,HOU,1,0,0,0,0,0,0,15,0,0.053,0.9,0.5,0.4,13,18,0.419,-0.1,0.1,0.0,2010,NBA
54,Alonzo Gee,WAS,1,0,0,0,0,0,0,19,0,0.092,0.7,0.7,0.5,0,11,0.0,0.2,0.1,0.4,2010,NBA
55,Brandon Jennings,MIL,2,0,1,0,0,1,0,55,2,0.302,2.3,0.5,0.2,46,36,0.561,0.2,3.8,4.1,2010,NBA
56,Jarrett Jack,TOR,2,0,0,0,0,0,0,27,1,0.23,2.5,0.4,0.4,40,42,0.488,4.6,0.1,4.7,2010,NBA
57,Hedo Turkoglu,TOR,2,0,0,0,0,0,0,26,3,0.201,2.4,0.4,0.3,37,37,0.5,2.6,0.6,3.2,2010,NBA
58,Lou Williams,PHI,2,0,0,0,0,1,0,31,0,0.242,2.5,0.7,0.3,23,41,0.359,3.9,1.1,5.1,2010,NBA
59,Richard Jefferson,SAS,2,0,0,0,0,0,0,29,2,0.16699999999999998,1.5,0.4,0.4,49,32,0.605,2.9,2.9,5.8,2010,NBA
60,Earl Watson,IND,2,0,0,0,0,1,0,20,1,0.214,2.4,0.6,0.3,31,48,0.392,0.6,2.2,2.7,2010,NBA
61,Charlie Villanueva,DET,2,0,0,0,0,0,0,30,1,0.14800000000000002,0.7,0.6,0.2,27,51,0.34600000000000003,2.0,1.4,3.5,2010,NBA
62,Kyle Lowry,HOU,2,0,0,0,0,1,0,26,2,0.19,2.7,0.5,0.6,37,31,0.544,3.0,1.4,4.4,2010,NBA
63,Chris Duhon,NYK,2,0,0,0,0,0,0,25,0,0.213,3.5,0.5,0.2,25,42,0.373,1.6,0.6,2.2,2010,NBA
64,Jared Dudley,PHX,2,0,0,0,0,0,0,20,0,0.102,1.7,1.2,0.3,54,28,0.659,4.1,1.1,5.2,2010,NBA
65,Tayshaun Prince,DET,2,0,0,0,0,0,0,29,0,0.249,2.6,0.5,0.2,12,37,0.245,2.4,0.2,2.6,2010,NBA
66,Amir Johnson,TOR,2,0,0,0,0,0,0,26,-3,0.08,0.8,0.7,0.4,40,42,0.488,3.4,1.1,4.5,2010,NBA
67,Martell Webster,POR,2,0,0,0,0,0,0,28,0,0.10800000000000001,1.0,0.7,0.2,50,32,0.61,2.2,2.0,4.2,2010,NBA
68,Jrue Holiday,PHI,2,0,0,0,0,1,0,25,0,0.18600000000000003,1.8,0.5,0.2,24,49,0.32899999999999996,0.1,1.0,1.1,2010,NBA
69,Nick Collison,OKC,2,0,0,0,0,0,0,18,1,0.078,0.6,0.6,0.3,46,29,0.613,2.6,2.1,4.7,2010,NBA
70,Chase Budinger,HOU,2,0,0,0,0,0,0,24,0,0.12,1.9,0.7,0.2,38,36,0.514,2.0,1.1,3.1,2010,NBA
71,Randy Foye,WAS,2,0,0,0,0,0,0,26,0,0.18899999999999997,2.4,0.3,0.2,21,49,0.3,1.5,0.7,2.2,2010,NBA
72,Jared Jeffries,HOU,2,0,0,0,0,1,0,17,1,0.09,1.4,0.8,0.4,28,42,0.4,0.9,1.6,2.4,2010,NBA
73,Lou Amundson,PHX,2,0,0,0,0,0,1,20,2,0.057,0.6,0.4,0.4,53,26,0.6709999999999999,1.6,1.3,2.9,2010,NBA
74,Richard Hamilton,DET,2,0,0,0,0,0,0,36,10,0.295,1.7,0.3,0.3,14,32,0.304,1.0,0.0,1.0,2010,NBA
75,Juwan Howard,POR,2,0,0,0,0,0,0,16,4,0.095,0.8,0.4,0.2,44,29,0.603,0.9,1.4,2.4,2010,NBA
76,Chris Douglas-Roberts,NJN,2,0,0,0,0,0,0,31,1,0.154,0.9,0.6,0.3,12,55,0.179,-0.2,1.0,0.8,2010,NBA
77,T.J. Ford,IND,2,0,0,0,0,0,0,23,4,0.21600000000000003,2.1,0.5,0.3,13,34,0.27699999999999997,0.4,1.1,1.6,2010,NBA
78,Larry Hughes,CHA,2,0,0,0,0,0,0,25,0,0.16399999999999998,1.8,0.7,0.3,20,25,0.444,-0.3,1.3,1.0,2010,NBA
79,James Singleton,WAS,2,0,0,1,0,0,0,19,2,0.06,0.6,0.6,0.2,24,33,0.42100000000000004,-0.1,1.2,1.1,2010,NBA
80,Darko Milicic,MIN,2,0,0,0,0,0,0,16,1,0.122,1.4,0.7,0.1,3,29,0.094,0.1,0.4,0.5,2010,NBA
81,Josh McRoberts,IND,2,0,0,0,0,0,0,18,1,0.077,2.4,0.9,0.3,19,23,0.452,0.8,0.7,1.4,2010,NBA
82,Johan Petro,DEN,2,0,0,0,0,0,0,14,0,0.049,0.6,0.4,0.2,23,13,0.639,0.2,0.6,0.8,2010,NBA
83,Earl Barron,NYK,2,0,0,0,0,0,0,17,0,0.141,0.7,0.4,0.4,3,4,0.429,0.4,-0.1,0.3,2010,NBA
84,Manu Ginobili,SAS,3,0,1,0,0,0,0,43,3,0.266,2.4,0.7,0.4,46,29,0.613,6.5,3.0,9.5,2010,NBA
85,Stephen Jackson,CHA,3,0,1,0,0,3,0,43,13,0.307,1.1,0.5,0.3,44,37,0.5429999999999999,0.4,4.2,4.6,2010,NBA
86,Jason Richardson,PHX,3,0,0,0,0,1,0,34,2,0.192,1.6,0.7,0.2,52,27,0.6579999999999999,5.1,1.4,6.5,2010,NBA
87,Danny Granger,IND,3,0,1,0,0,0,0,44,4,0.289,1.1,0.6,0.4,25,37,0.40299999999999997,3.8,2.5,6.3,2010,NBA
88,Marvin Williams,ATL,3,0,0,0,0,0,0,29,1,0.126,1.3,0.9,0.3,52,29,0.642,3.0,2.6,5.6,2010,NBA
89,Jose Calderon,TOR,3,0,0,0,0,0,0,24,2,0.252,4.1,0.5,0.2,31,37,0.456,4.3,-0.3,4.0,2010,NBA
90,Luke Ridnour,MIL,3,0,0,0,0,0,0,27,0,0.214,3.0,0.5,0.2,46,36,0.561,3.9,2.2,6.1,2010,NBA
91,Mike Miller,WAS,3,0,0,0,0,0,0,27,3,0.21899999999999997,1.8,0.3,0.2,17,37,0.315,2.5,1.3,3.7,2010,NBA
92,Thabo Sefolosha,OKC,3,0,0,0,0,0,0,16,0,0.111,1.6,1.1,0.2,50,32,0.61,0.6,3.3,3.9,2010,NBA
93,Tony Parker,SAS,3,0,0,0,0,0,0,32,1,0.311,2.1,0.2,0.3,34,22,0.607,2.0,1.6,3.6,2010,NBA
94,Anthony Morrow,GSW,3,0,0,0,0,1,0,35,2,0.153,1.3,0.8,0.2,24,45,0.348,3.2,0.5,3.6,2010,NBA
95,Antonio McDyess,SAS,3,0,0,0,0,0,0,17,1,0.098,1.0,0.5,0.1,46,31,0.597,0.5,2.5,3.0,2010,NBA
96,Nenad Krstic,OKC,3,0,0,0,0,0,0,20,0,0.11699999999999999,0.9,0.6,0.2,48,28,0.632,2.0,2.2,4.2,2010,NBA
97,Tyrus Thomas,CHA,3,0,0,0,0,1,2,21,5,0.125,0.6,0.7,0.4,33,21,0.611,-0.2,3.1,2.9,2010,NBA
98,Al Thornton,WAS,3,0,0,0,0,0,0,31,1,0.15,0.9,0.4,0.3,25,50,0.33299999999999996,1.1,1.2,2.3,2010,NBA
99,Hakim Warrick,CHI,3,0,0,0,0,0,0,23,3,0.11,0.7,0.3,0.5,36,40,0.474,2.2,1.6,3.7,2010,NBA
100,Damien Wilkins,MIN,3,0,0,0,0,0,0,18,2,0.099,1.8,0.9,0.3,14,66,0.175,0.9,0.9,1.8,2010,NBA
101,Eric Maynor,OKC,3,0,0,0,0,0,0,24,0,0.135,3.1,0.5,0.2,53,28,0.654,0.5,1.2,1.7,2010,NBA
102,Marreese Speights,PHI,3,0,0,0,0,0,0,28,4,0.106,0.7,0.6,0.3,24,38,0.387,1.1,0.9,2.0,2010,NBA
103,Tyler Hansbrough,IND,3,0,0,0,0,0,0,21,1,0.105,1.4,0.8,0.5,11,18,0.379,0.2,0.7,0.9,2010,NBA
104,Joe Johnson,ATL,4,0,1,0,0,0,0,40,1,0.341,2.5,0.5,0.2,50,26,0.6579999999999999,5.9,2.3,8.2,2010,NBA
105,Chauncey Billups,DEN,4,0,0,0,0,0,0,39,9,0.293,2.4,0.5,0.5,50,23,0.685,7.9,1.7,9.5,2010,NBA
106,Ben Wallace,DET,4,0,0,1,0,0,0,18,5,0.107,1.6,1.3,0.5,25,44,0.36200000000000004,2.2,2.8,5.0,2010,NBA
107,Mike Conley,MEM,4,0,0,0,0,2,0,26,0,0.252,2.5,0.6,0.2,40,40,0.5,2.7,1.2,3.9,2010,NBA
108,Channing Frye,PHX,4,0,0,0,0,0,0,26,4,0.13,1.6,0.9,0.2,54,27,0.667,4.3,2.0,6.3,2010,NBA
109,Carlos Delfino,MIL,4,0,0,0,0,0,0,28,0,0.18100000000000002,1.7,0.7,0.2,42,33,0.56,1.0,3.8,4.7,2010,NBA
110,Chris Andersen,DEN,4,0,0,0,0,0,4,15,1,0.06,0.6,0.7,0.9,49,27,0.645,3.2,2.6,5.8,2010,NBA
111,Rashard Lewis,ORL,4,0,0,0,0,1,0,26,3,0.17300000000000001,1.0,0.7,0.2,52,20,0.722,3.1,3.2,6.3,2010,NBA
112,Wilson Chandler,NYK,4,0,0,0,0,0,0,35,0,0.221,1.3,0.4,0.2,23,42,0.354,1.8,1.4,3.2,2010,NBA
113,Steve Blake,LAC,4,1,0,0,0,0,0,23,3,0.20600000000000002,2.9,0.4,0.1,37,43,0.46299999999999997,1.7,1.1,2.8,2010,NBA
114,Jameer Nelson,ORL,4,0,0,0,0,0,0,30,1,0.28,2.5,0.3,0.2,46,19,0.708,2.8,2.2,4.9,2010,NBA
115,Shane Battier,HOU,4,0,0,0,0,0,4,23,1,0.136,2.6,0.8,0.2,36,31,0.537,2.3,2.4,4.7,2010,NBA
116,Chuck Hayes,HOU,4,0,0,0,0,0,0,14,0,0.09699999999999999,1.9,1.0,0.2,42,40,0.512,1.2,2.4,3.6,2010,NBA
117,J.J. Hickson,CLE,4,0,0,0,0,0,0,23,1,0.107,0.4,0.4,0.3,60,21,0.741,1.8,2.4,4.2,2010,NBA
118,Brandon Rush,IND,4,0,0,0,0,0,1,24,0,0.135,1.3,0.6,0.1,32,50,0.39,0.1,2.4,2.5,2010,NBA
119,Omri Casspi,SAC,4,0,0,0,0,0,0,24,3,0.134,1.0,0.6,0.3,24,53,0.312,1.2,1.3,2.5,2010,NBA
120,Luc Mbah a Moute,MIL,4,0,0,0,0,0,0,18,1,0.095,1.1,0.8,0.4,42,31,0.575,1.8,3.0,4.8,2010,NBA
121,Serge Ibaka,OKC,4,0,0,0,0,0,2,15,3,0.077,0.1,0.4,0.2,45,28,0.616,1.3,2.2,3.5,2010,NBA
122,Kris Humphries,NJN,4,0,0,0,0,0,1,25,0,0.084,0.5,0.5,0.5,27,42,0.391,0.4,1.6,2.0,2010,NBA
123,Nazr Mohammed,CHA,4,0,0,1,0,0,0,23,1,0.107,0.5,0.3,0.4,29,29,0.5,1.8,1.7,3.5,2010,NBA
124,Robin Lopez,PHX,4,0,0,0,0,0,2,30,1,0.086,0.2,0.2,0.4,32,19,0.627,2.5,0.7,3.2,2010,NBA
125,Raymond Felton,CHA,5,0,0,0,0,2,0,28,3,0.299,2.6,0.7,0.2,42,38,0.525,2.3,4.0,6.3,2010,NBA
126,Boris Diaw,CHA,5,0,0,0,0,0,1,28,1,0.244,1.8,0.3,0.2,44,38,0.537,2.3,3.6,5.9,2010,NBA
127,Danilo Gallinari,NYK,5,0,0,0,0,0,0,31,0,0.171,1.2,0.7,0.3,28,53,0.34600000000000003,4.2,1.5,5.7,2010,NBA
128,Mo Williams,CLE,5,0,0,0,0,1,0,35,5,0.285,2.1,0.4,0.2,50,19,0.725,3.9,2.5,6.4,2010,NBA
129,Corey Maggette,GSW,5,0,0,0,0,0,0,35,6,0.221,1.1,0.3,0.6,21,49,0.3,6.0,0.6,6.6,2010,NBA
130,Rodney Stuckey,DET,5,0,0,0,0,1,0,31,2,0.307,2.0,0.6,0.3,23,50,0.315,1.2,1.6,2.7,2010,NBA
131,Matt Barnes,ORL,5,0,0,0,0,1,0,28,11,0.136,1.2,0.5,0.3,59,22,0.728,2.5,3.2,5.8,2010,NBA
132,Quentin Richardson,MIA,5,0,0,0,0,0,0,25,6,0.121,1.4,1.1,0.1,44,32,0.579,2.6,3.2,5.8,2010,NBA
133,Gilbert Arenas,WAS,5,1,1,0,0,1,0,45,3,0.41,2.0,0.4,0.3,11,21,0.344,0.9,0.9,1.8,2010,NBA
134,Tyson Chandler,CHA,5,0,0,0,0,0,3,16,3,0.071,0.2,0.2,0.8,28,23,0.5489999999999999,0.8,2.2,3.0,2010,NBA
135,Anthony Randolph,GSW,5,0,0,0,0,0,2,28,2,0.134,0.9,0.6,0.4,11,22,0.33299999999999996,0.8,0.9,1.7,2010,NBA
136,Greg Oden,POR,5,0,0,1,0,0,1,24,0,0.154,0.5,0.2,0.4,13,8,0.619,1.2,1.2,2.3,2010,NBA
137,Derrick Rose,CHI,6,0,0,0,0,0,0,39,0,0.389,2.2,0.3,0.2,41,37,0.526,3.6,2.4,6.0,2010,NBA
138,Aaron Brooks,HOU,6,0,1,0,0,1,0,43,9,0.326,1.9,0.3,0.2,42,40,0.512,4.0,1.6,5.6,2010,NBA
139,Beno Udrih,SAC,6,1,0,0,0,1,0,26,0,0.26,2.8,0.7,0.2,24,55,0.304,4.2,1.2,5.5,2010,NBA
140,Trevor Ariza,HOU,6,1,0,0,0,1,0,33,4,0.24600000000000002,1.7,0.8,0.2,37,35,0.514,0.2,3.1,3.3,2010,NBA
141,Monta Ellis,GSW,6,0,3,0,0,8,0,46,5,0.374,1.5,0.6,0.3,19,45,0.297,0.8,1.1,1.9,2010,NBA
142,Shawn Marion,DAL,6,0,0,0,0,1,0,29,0,0.174,1.1,0.7,0.2,50,25,0.667,2.1,2.7,4.9,2010,NBA
143,Grant Hill,PHX,6,0,0,0,0,0,0,23,2,0.16,1.8,0.6,0.4,54,27,0.667,3.8,1.7,5.5,2010,NBA
144,Devin Harris,NJN,6,0,0,0,0,0,0,31,2,0.349,2.3,0.4,0.4,11,53,0.172,1.5,0.9,2.4,2010,NBA
145,Al Harrington,NYK,6,0,2,0,0,0,0,42,3,0.203,0.8,0.5,0.3,26,46,0.361,2.3,1.5,3.8,2010,NBA
146,Thaddeus Young,PHI,6,0,0,0,0,0,0,32,1,0.192,0.8,0.6,0.2,23,44,0.34299999999999997,0.9,1.3,2.3,2010,NBA
147,JaVale McGee,WAS,6,0,0,0,0,0,4,25,0,0.077,0.3,0.3,0.4,17,43,0.28300000000000003,0.8,1.2,2.0,2010,NBA
148,Kobe Bryant,LAL,7,0,8,0,0,3,0,44,14,0.384,1.6,0.5,0.3,51,22,0.6990000000000001,5.5,3.7,9.2,2010,NBA
149,Carl Landry,SAC,7,0,0,0,0,0,0,31,3,0.188,0.5,0.4,0.5,34,46,0.425,5.9,2.4,8.3,2010,NBA
150,Elton Brand,PHI,7,0,0,0,0,0,1,26,0,0.182,0.8,0.6,0.3,27,49,0.355,1.6,2.0,3.6,2010,NBA
151,Jonas Jerebko,DET,7,0,0,0,0,0,0,22,1,0.121,0.7,0.9,0.3,26,54,0.325,2.8,1.4,4.2,2010,NBA
152,Brad Miller,CHI,7,0,0,0,0,1,0,27,6,0.131,1.4,0.4,0.4,41,41,0.5,1.5,2.4,3.9,2010,NBA
153,Shaquille O'Neal,CLE,7,0,0,0,0,0,1,22,5,0.172,0.7,0.1,0.5,40,13,0.755,1.0,2.2,3.1,2010,NBA
154,Jason Maxiell,DET,7,0,0,0,0,0,0,19,2,0.092,0.5,0.5,0.4,24,52,0.316,1.4,1.1,2.5,2010,NBA
155,Erick Dampier,DAL,7,0,0,1,0,0,1,20,2,0.08,0.5,0.2,0.5,32,23,0.5820000000000001,1.7,1.9,3.7,2010,NBA
156,Rudy Gay,MEM,8,0,1,0,0,2,0,41,4,0.24,0.9,0.7,0.3,39,41,0.48700000000000004,4.1,2.2,6.3,2010,NBA
157,DeJuan Blair,SAS,8,0,0,2,0,0,0,28,2,0.10800000000000001,0.6,0.4,0.3,50,32,0.61,1.7,2.7,4.5,2010,NBA
158,Terrence Williams,NJN,8,1,0,0,0,0,0,27,0,0.18100000000000002,1.8,0.3,0.2,10,68,0.128,-1.6,1.2,-0.5,2010,NBA
159,DeAndre Jordan,LAC,8,0,0,0,0,0,1,23,1,0.065,0.3,0.2,0.5,23,47,0.32899999999999996,0.2,1.1,1.3,2010,NBA
160,Andre Miller,POR,9,0,1,0,0,0,0,52,4,0.285,2.4,0.5,0.4,50,32,0.61,4.3,2.3,6.6,2010,NBA
161,Caron Butler,DAL,9,0,0,0,0,2,0,31,2,0.221,1.0,0.7,0.3,35,39,0.473,0.7,3.0,3.6,2010,NBA
162,Spencer Hawes,SAC,9,0,0,0,0,0,1,30,4,0.171,1.2,0.2,0.2,23,49,0.319,0.6,1.7,2.2,2010,NBA
163,Jianlian Yi,NJN,9,0,0,0,0,0,0,31,1,0.154,0.6,0.5,0.3,10,42,0.192,-0.1,1.4,1.3,2010,NBA
164,Carmelo Anthony,DEN,10,0,7,0,0,1,0,50,14,0.34600000000000003,1.1,0.4,0.4,45,24,0.652,5.9,2.3,8.2,2010,NBA
165,Kevin Garnett,BOS,10,0,0,0,0,1,0,26,7,0.228,1.8,0.7,0.3,44,25,0.638,3.5,3.9,7.4,2010,NBA
166,Andrea Bargnani,TOR,10,0,0,0,0,0,1,34,3,0.201,0.8,0.2,0.2,39,41,0.48700000000000004,3.3,0.8,4.1,2010,NBA
167,Roy Hibbert,IND,10,0,0,0,0,0,7,29,3,0.183,1.1,0.2,0.3,31,50,0.38299999999999995,1.8,2.4,4.2,2010,NBA
168,Andre Iguodala,PHI,11,0,0,0,0,2,0,33,2,0.314,2.1,0.6,0.4,27,55,0.32899999999999996,3.9,2.7,6.5,2010,NBA
169,Jeff Green,OKC,11,0,0,0,0,0,0,27,1,0.20199999999999999,1.0,0.8,0.2,50,32,0.61,2.5,4.0,6.5,2010,NBA
170,Anderson Varejao,CLE,11,0,0,0,0,0,0,22,7,0.12300000000000001,1.3,1.0,0.4,57,19,0.75,4.3,3.7,8.0,2010,NBA
171,Michael Beasley,MIA,11,0,0,0,0,0,0,30,3,0.2,0.7,0.6,0.2,44,34,0.564,0.6,3.7,4.3,2010,NBA
172,Ersan Ilyasova,MIL,11,0,0,0,0,0,0,25,0,0.135,1.2,0.7,0.2,46,35,0.568,2.5,3.2,5.7,2010,NBA
173,Stephen Curry,GSW,12,1,1,0,0,2,0,42,0,0.309,2.1,0.7,0.2,25,55,0.312,3.5,1.7,5.3,2010,NBA
174,Paul Millsap,UTA,12,0,0,1,0,1,1,32,2,0.16,1.1,0.6,0.4,53,29,0.6459999999999999,3.7,3.3,7.0,2010,NBA
175,Anthony Tolliver,GSW,12,0,0,1,0,0,0,34,0,0.149,2.0,0.7,0.3,17,29,0.37,1.9,0.7,2.6,2010,NBA
176,Tyreke Evans,SAC,13,1,0,0,0,0,0,34,5,0.342,1.9,0.5,0.4,23,49,0.319,3.6,2.0,5.5,2010,NBA
177,Luol Deng,CHI,13,0,0,1,0,0,0,31,1,0.233,1.1,0.5,0.3,37,33,0.529,2.7,3.4,6.1,2010,NBA
178,Mehmet Okur,UTA,13,0,0,0,0,0,1,28,5,0.165,1.0,0.3,0.3,45,28,0.616,2.7,2.8,5.5,2010,NBA
179,Maybyner Nene,DEN,14,0,0,0,0,3,0,25,3,0.2,1.7,0.9,0.6,53,29,0.6459999999999999,7.2,3.5,10.7,2010,NBA
